title,native_title,rating,genres,directors,screenwriters,episodes,aired,aired_on,original_network,duration,content_rat,rank,popularity,watchers
Twinkling Watermelon(2023),반짝이는 워터멜론,9.2,"['Romance', 'Youth', 'Drama', 'Fantasy']",['Son Jung Hyun'],['Jin Soo Wan'],16,"Sep 25, 2023 - Nov 14, 2023","Monday, Tuesday","['TVING', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#19,#125,"68,126"
Lovely Runner(2024),선재 업고 튀어,9.2,"['Music', 'Comedy', 'Romance', 'Fantasy']","['Yoon Jong Ho', 'Kim Tae Yub']",['Lee Shi Eun'],16,"Apr  8, 2024 - May 28, 2024","Monday, Tuesday","['TVING', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#20,#230,"47,983"
Move to Heaven(2021),무브 투 헤븐: 나는 유품정리사입니다,9.1,"['Life', 'Drama']",['Kim Sung Ho'],['Yoon Ji Ryun'],10,"May 14, 2021",Friday,['Netflix'],52 min.,18+ Restricted (violence & profanity),#24,#61,"94,814"
Hospital Playlist Season 2(2021),슬기로운 의사생활++,9.1,"['Romance', 'Life', 'Drama', 'Medical']",['Shin Won Ho'],['Lee Woo Jung'],12,"Jun 17, 2021 - Sep 16, 2021",Thursday,"['Netflix', 'tvN']",1 hr. 40 min.,15+ - Teens 15 or older,#29,#132,"65,275"
Weak Hero Class 1(2022),약한영웅 Class 1,9.1,"['Action', 'Youth', 'Drama']",['You Su Min'],,8,"Nov 18, 2022",Friday,['Wavve'],40 min.,18+ Restricted (violence & profanity),#28,#95,"79,772"
Flower of Evil(2020),악의 꽃,9.1,"['Thriller', 'Romance', 'Crime', 'Melodrama']","['Kim Chul Gyu', 'Yoon Jong Ho']",['Yoo Jung Hee'],16,"Jul 29, 2020 - Sep 23, 2020","Wednesday, Thursday",['tvN'],1 hr. 10 min.,15+ - Teens 15 or older,#34,#25,"131,475"
Moving(2023),무빙,9.1,"['Action', 'Thriller', 'Mystery', 'Supernatural']",['Park In Je'],['Kang Full'],20,"Aug  9, 2023 - Sep 20, 2023",Wednesday,"['Disney+', 'Hulu']",47 min.,18+ Restricted (violence & profanity),#36,#169,"58,063"
Alchemy of Souls(2022),환혼,9.1,"['Action', 'Historical', 'Romance', 'Fantasy']",['Park Joon Hwa'],"['Hong Jung Eun', 'Hong Mi Ran']",20,"Jun 18, 2022 - Aug 28, 2022","Saturday, Sunday","['Netflix', 'tvN']",1 hr. 20 min.,15+ - Teens 15 or older,#35,#43,"104,425"
Hospital Playlist(2020),슬기로운 의사 생활,9.1,"['Romance', 'Life', 'Drama', 'Medical']",['Shin Won Ho'],"['Lee Woo Jung', 'Kim Song Hee']",12,"Mar 12, 2020 - May 28, 2020",Thursday,"['Netflix', 'tvN']",1 hr. 30 min.,15+ - Teens 15 or older,#40,#42,"105,934"
Under the Queen's Umbrella(2022),슈룹,9.0,"['Historical', 'Comedy', 'Drama', 'Political']",['Kim Hyung Shik'],['Park Ba Ra'],16,"Oct 15, 2022 - Dec  4, 2022","Saturday, Sunday","['Netflix', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#59,#400,"33,858"
The Glory Part 2(2023),더글로리 파트 2,9.0,"['Thriller', 'Drama', 'Melodrama']",['Ahn Gil Ho'],['Kim Eun Sook'],8,"Mar 10, 2023",Friday,['Netflix'],55 min.,18+ Restricted (violence & profanity),#69,#120,"69,795"
Mr. Queen(2020),철인왕후,9.0,"['Historical', 'Comedy', 'Romance', 'Fantasy']",['Yoon Sung Shik'],"['Park Kye Ok', 'Choi Ah Il']",20,"Dec 12, 2020 - Feb 14, 2021","Saturday, Sunday",['tvN'],1 hr. 15 min.,15+ - Teens 15 or older,#73,#67,"91,885"
Dr. Romantic Season 3(2023),낭만닥터 김사부3,8.9,"['Romance', 'Drama', 'Medical']",['Yoo In Shik'],['Kang Eun Kyung'],16,"Apr 28, 2023 - Jun 17, 2023","Friday, Saturday","['Disney+', 'SBS']",1 hr. 10 min.,15+ - Teens 15 or older,#80,#508,"28,174"
Alchemy of Souls Season 2: Light and Shadow(2022),환혼 : 빛과 그림자,8.9,"['Action', 'Historical', 'Romance', 'Fantasy']","['Park Joon Hwa', 'Bae Hyun Jin']","['Hong Jung Eun', 'Hong Mi Ran']",10,"Dec 10, 2022 - Jan  8, 2023","Saturday, Sunday","['Netflix', 'tvN']",1 hr. 21 min.,15+ - Teens 15 or older,#95,#140,"63,491"
It's Okay to Not Be Okay(2020),사이코지만 괜찮아,8.9,"['Psychological', 'Comedy', 'Romance', 'Drama']","['Park Shin Woo', 'Jung Dong Yoon']",['Jo Yong'],16,"Jun 20, 2020 - Aug  9, 2020","Saturday, Sunday","['Netflix', 'tvN']",1 hr. 15 min.,15+ - Teens 15 or older,#90,#5,"193,934"
The Glory(2022),더 글로리,8.9,"['Thriller', 'Drama', 'Melodrama']",['Ahn Gil Ho'],['Kim Eun Sook'],8,"Dec 30, 2022",Friday,['Netflix'],50 min.,18+ Restricted (violence & profanity),#97,#59,"95,386"
Navillera(2021),나빌레라,8.9,"['Life', 'Drama']",['Han Dong Hwa'],['Lee Eun Mi'],12,"Mar 22, 2021 - Apr 27, 2021","Monday, Tuesday","['Netflix', 'tvN']",1 hr. 5 min.,15+ - Teens 15 or older,#98,#241,"46,532"
My Dearest(2023),연인,8.9,"['Historical', 'Romance', 'Drama', 'Melodrama']","['Kim Sung Yong', 'Lee Han Joon']",['Hwang Jin Young'],10,"Aug  4, 2023 - Sep  2, 2023","Friday, Saturday",['MBC'],1 hr. 20 min.,15+ - Teens 15 or older,#92,#662,"23,257"
Extraordinary Attorney Woo(2022),이상한 변호사 우영우,8.9,"['Law', 'Romance', 'Life', 'Drama']",['Yoo In Shik'],['Moon Ji Won'],16,"Jun 29, 2022 - Aug 18, 2022","Wednesday, Thursday","['ENA', 'Netflix']",1 hr. 17 min.,15+ - Teens 15 or older,#96,#32,"113,649"
Vincenzo(2021),빈센조,8.9,"['Comedy', 'Law', 'Crime', 'Drama']",['Kim Hee Won'],['Park Jae Bum'],20,"Feb 20, 2021 - May  2, 2021","Saturday, Sunday","['Netflix', 'tvN']",1 hr. 25 min.,15+ - Teens 15 or older,#104,#15,"151,497"
The Good Bad Mother(2023),나쁜엄마,8.9,"['Comedy', 'Life', 'Drama', 'Family']",['Shim Na Yeon'],['Bae Se Young'],14,"Apr 26, 2023 - Jun  8, 2023","Wednesday, Thursday","['jTBC', 'Netflix', 'TVING']",1 hr. 10 min.,15+ - Teens 15 or older,#110,#219,"49,903"
My Dearest Part 2(2023),연인 파트 2,8.9,"['Historical', 'Romance', 'Drama', 'Melodrama']","['Kim Sung Yong', 'Lee Han Joon']",['Hwang Jin Young'],11,"Oct 13, 2023 - Nov 18, 2023","Friday, Saturday",['MBC'],1 hr. 11 min.,15+ - Teens 15 or older,#106,#1362,"12,156"
Kingdom Season 2(2020),킹덤 시즌 2,8.9,"['Thriller', 'Historical', 'Horror', 'Supernatural']","['Kim Sung Hoon', 'Park In Je']",['Kim Eun Hee'],6,"Mar 13, 2020",Friday,['Netflix'],45 min.,18+ Restricted (violence & profanity),#118,#261,"44,616"
Death's Game Part 2(2024),"이재, 곧 죽습니다 파트2",8.9,"['Thriller', 'Drama', 'Fantasy']",['Ha Byung Hoon'],,4,"Jan  5, 2024",Friday,['TVING'],55 min.,18+ Restricted (violence & profanity),#116,#444,"30,959"
Happiness(2021),해피니스,8.9,"['Action', 'Thriller', 'Drama', 'Sci-Fi']",['Ahn Gil Ho'],['Han Sang Woon'],12,"Nov  5, 2021 - Dec 11, 2021","Friday, Saturday","['TVING', 'tvN']",1 hr. 5 min.,15+ - Teens 15 or older,#124,#88,"84,031"
Death's Game(2023),"이재, 곧 죽습니다",8.9,"['Thriller', 'Drama', 'Fantasy']",['Ha Byung Hoon'],,4,"Dec 15, 2023",Friday,['TVING'],55 min.,18+ Restricted (violence & profanity),#119,#192,"53,334"
Taxi Driver Season 2(2023),모범택시2,8.9,"['Action', 'Thriller', 'Mystery', 'Crime']",['Lee Dan'],['Oh Sang Ho'],16,"Feb 17, 2023 - Apr 15, 2023","Friday, Saturday",['SBS'],1 hr. 10 min.,18+ Restricted (violence & profanity),#120,#523,"27,600"
Tomorrow(2022),내일,8.8,"['Action', 'Thriller', 'Drama', 'Fantasy']","['Kim Tae Yoon', 'Sung Chi Wook']","['Park Ran', 'Park Ja Kyung', 'Kim Yu Jin']",16,"Apr  1, 2022 - May 21, 2022","Friday, Saturday","['MBC', 'Netflix']",60 min.,15+ - Teens 15 or older,#137,#83,"86,685"
Queen of Tears(2024),눈물의 여왕,8.8,"['Comedy', 'Romance', 'Life', 'Drama']","['Kim Hee Won', 'Jang Young Woo']",['Park Ji Eun'],16,"Mar  9, 2024 - Apr 28, 2024","Saturday, Sunday",['tvN'],1 hr. 28 min.,15+ - Teens 15 or older,#147,#155,"60,157"
Mouse(2021),마우스,8.8,"['Thriller', 'Mystery', 'Psychological', 'Sci-Fi']","['Choi Joon Bae', 'Kang Cheol Woo']",['Choi Ran'],20,"Mar  3, 2021 - May 19, 2021","Wednesday, Thursday",['tvN'],1 hr. 15 min.,18+ Restricted (violence & profanity),#143,#143,"62,920"
Tale of the Nine-Tailed 1938(2023),구미호뎐 1938,8.8,"['Historical', 'Horror', 'Romance', 'Fantasy']","['Kang Shin Hyo', 'Jo Nam Hyung']",['Han Woo Ri'],12,"May  6, 2023 - Jun 11, 2023","Saturday, Sunday","['Amazon Prime', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#159,#371,"35,847"
Twenty-Five Twenty-One(2022),스물다섯 스물하나,8.8,"['Romance', 'Life', 'Drama', 'Melodrama']","['Jung Ji Hyun', 'Kim Seung Ho']",['Kwon Do Eun'],16,"Feb 12, 2022 - Apr  3, 2022","Saturday, Sunday","['Netflix', 'tvN']",1 hr. 15 min.,15+ - Teens 15 or older,#172,#58,"96,444"
D.P.(2021),디피,8.8,"['Action', 'Military', 'Drama']",['Han Jun Hee'],['Kim Bo Tong'],6,"Aug 27, 2021",Friday,['Netflix'],50 min.,15+ - Teens 15 or older,#176,#165,"58,378"
The Uncanny Counter(2020),경이로운 소문,8.8,"['Action', 'Mystery', 'Drama', 'Supernatural']",['Yoo Seon Dong'],"['Kim Sae Bom', 'Yeo Ji Na']",16,"Nov 28, 2020 - Jan 24, 2021","Saturday, Sunday","['Netflix', 'OCN']",1 hr. 10 min.,15+ - Teens 15 or older,#170,#57,"96,581"
The Red Sleeve(2021),옷소매 붉은 끝동,8.8,"['Historical', 'Romance', 'Drama', 'Melodrama']","['Jung Ji In', 'Song Yeon Hwa']",['Jung Hae Ri'],17,"Nov 12, 2021 - Jan  1, 2022","Friday, Saturday","['MBC', 'Viki']",1 hr. 20 min.,15+ - Teens 15 or older,#178,#274,"43,557"
Taxi Driver(2021),모범택시,8.8,"['Action', 'Thriller', 'Crime', 'Drama']",['Park Joon Woo'],"['Oh Sang Ho', 'Lee Ji Hyun']",16,"Apr  9, 2021 - May 29, 2021","Friday, Saturday","['SBS', 'Wavve']",1 hr. 5 min.,18+ Restricted (violence & profanity),#177,#133,"64,721"
Missing: The Other Side Season 2(2022),미씽: 그들이 있었다2,8.8,"['Thriller', 'Mystery', 'Supernatural']","['Min Yeon Hong', 'Lee Ye Rim']","['Ban Ki Ri', 'Jung So Young']",14,"Dec 19, 2022 - Jan 31, 2023","Monday, Tuesday",['tvN'],60 min.,15+ - Teens 15 or older,#180,#1670,"9,716"
Love for Love's Sake(2024),연애 지상주의 구역,8.8,"['Romance', 'Youth', 'Fantasy']",['Kim Kyun Ah'],,8,"Jan 24, 2024 - Feb  1, 2024","Wednesday, Thursday",,34 min.,15+ - Teens 15 or older,#192,#661,"23,269"
Daily Dose of Sunshine(2023),정신병동에도 아침이 와요,8.8,"['Life', 'Drama', 'Medical']",['Lee Jae Gyoo'],"['Lee Nam Gyu', 'Kim Da Hee']",12,"Nov  3, 2023",Friday,['Netflix'],1 hr. 10 min.,15+ - Teens 15 or older,#201,#372,"35,835"
A Shop for Killers(2024),킬러들의 쇼핑몰,8.8,"['Action', 'Thriller', 'Mystery', 'Drama']",['Lee Kwon'],['Ji Ho Jin'],8,"Jan 17, 2024 - Feb  7, 2024",Wednesday,"['Disney+', 'Hulu']",51 min.,18+ Restricted (violence & profanity),#202,#435,"31,809"
Youth of May(2021),오월의 청춘,8.7,"['Romance', 'Youth', 'Drama', 'Melodrama']","['Song Min Yeop', 'Lee Dae Kyung']",['Lee Kang'],12,"May  3, 2021 - Jun  8, 2021","Monday, Tuesday","['KBS2', 'Wavve']",1 hr. 10 min.,15+ - Teens 15 or older,#210,#176,"57,046"
Dr. Romantic Season 2(2020),낭만닥터 김사부2,8.7,"['Romance', 'Drama', 'Medical', 'Melodrama']","['Yoo In Shik', 'Lee Gil Bok']",['Kang Eun Kyung'],16,"Jan  6, 2020 - Feb 25, 2020","Monday, Tuesday",['SBS'],1 hr. 10 min.,15+ - Teens 15 or older,#216,#177,"56,785"
